pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_controv_flag,sy_dist
11 Com b,11 Com,323.21,1.178,12.2,4914.89848585,,,4874.0,13.76,2.09,Radial Velocity,2007.0,0,93.1846
11 UMi b,11 UMi,516.21997,1.53,12.3,4684.8142,,,4213.0,29.79,2.78,Radial Velocity,2009.0,0,125.321
14 And b,14 And,186.76,0.775,13.1,1131.15130051,,,4888.0,11.55,1.78,Radial Velocity,2008.0,0,75.4392
14 Her b,14 Her,1766.41,2.839,12.5,2828.6728223,,,5338.0,0.93,0.97,Radial Velocity,2002.0,0,17.9323
16 Cyg B b,16 Cyg B,798.5,1.66,13.5,565.7374,,,5750.0,1.13,1.08,Radial Velocity,1996.0,0,21.1397
17 Sco b,17 Sco,578.38,1.45,12.9,1373.01871824,,,4157.0,25.92,1.22,Radial Velocity,2020.0,0,124.953
18 Del b,18 Del,982.85,2.476,12.5,2926.24614325,,,4980.0,8.8,2.1,Radial Velocity,2008.0,0,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,18.647,3000.0,,1700.0,4060.0,1.31316,0.85,Imaging,2008.0,0,139.135
24 Boo b,24 Boo,30.33,0.194,13.9,280.64248338,,,4816.0,12.19,1.05,Radial Velocity,2018.0,0,95.9863
24 Sex b,24 Sex,452.8,1.333,13.4,632.46,,,5098.0,4.9,1.54,Radial Velocity,2010.0,0,72.0691
24 Sex c,24 Sex,883.0,2.08,13.9,273.32,,,5098.0,4.9,1.54,Radial Velocity,2010.0,0,72.0691
2M0437 b,2MASS J04372171+2651014,,118.0,13.0,1271.313628,,1450.0,3100.0,0.84,0.17,Imaging,2021.0,0,128.484
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.0,11.209,7786.5,,1600.0,3530.0,0.36645,0.4,Imaging,2013.0,0,33.8281
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,572.0,12.2,5720.911326,,2369.0,2943.0,0.289776,0.264996,Imaging,2024.0,0,117.435
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,587.0,12.1,6356.56814,,2506.0,3021.0,0.600455,0.58846,Imaging,2024.0,0,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,46.0,15.69257298,1652.7077164,,1163.0,2825.0,0.21887,0.188001,Imaging,2004.0,0,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,0.92,13.4,603.877,,,29564.0,0.203,0.48,Eclipse Timing Variations,2015.0,0,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,7493.0,12.4,3813.940884,,1616.0,3592.0,0.672832,0.643977,Imaging,2024.0,0,34.1154
2MASS J22501512+2325342 b,2MASS J22501512+2325342,,518.0,11.9,9534.85221,,1600.0,3352.0,0.437589,0.433173,Imaging,2018.0,0,57.2309
4 UMa b,4 UMa,270.27,0.877,12.6,2511.48007211,,,4415.0,18.11,1.234,Radial Velocity,2006.0,0,73.4603
47 UMa b,47 UMa,1078.0,2.1,13.2,804.08,,,5872.0,1.21334,1.06,Radial Velocity,1996.0,0,13.7967
47 UMa c,47 UMa,2391.0,3.6,14.2,171.621,,,5872.0,1.21334,1.06,Radial Velocity,2001.0,0,13.7967
47 UMa d,47 UMa,14002.0,11.6,13.5,521.22,,,5872.0,1.21334,1.06,Radial Velocity,2009.0,0,13.7967
51 Eri b,51 Eri,9100.0,10.4,,3464.3296363,,807.0,7422.0,1.45,1.75,Imaging,2015.0,0,29.7575
51 Peg b,51 Peg,4.230785,0.0527,14.3,146.2018,,,5758.0,1.17561,1.03,Radial Velocity,1995.0,0,15.4614
55 Cnc B b,55 Cnc B,6.7994,0.044,1.69,3.5,,,3286.0,0.274,0.26,Radial Velocity,2025.0,0,12.4773
55 Cnc B c,55 Cnc B,33.747,0.13,2.16,5.3,,,3286.0,0.274,0.26,Radial Velocity,2025.0,0,12.4773
55 Cnc b,55 Cnc,14.651552,0.118,13.9,263.9785,,700.0,5198.0,0.98,1.015,Radial Velocity,1996.0,0,12.5855
55 Cnc c,55 Cnc,44.3936,0.247,8.51,54.4738,,,5198.0,0.98,1.015,Radial Velocity,2004.0,0,12.5855
55 Cnc d,55 Cnc,4799.0,5.6,13.0,1232.493,,,5198.0,0.98,1.015,Radial Velocity,2002.0,0,12.5855
55 Cnc e,55 Cnc,0.7365474,0.01544,1.875,7.99,2657.8322,1958.0,5172.0,0.943,0.905,Radial Velocity,2004.0,0,12.5855
55 Cnc f,55 Cnc,260.58,0.802,7.59,44.812,,,5198.0,0.98,1.015,Radial Velocity,2007.0,0,12.5855
6 Lyn b,6 Lyn,919.86,2.028,13.4,597.83523357,,,4941.0,4.94,1.32,Radial Velocity,2008.0,0,54.6599
61 Vir b,61 Vir,4.215,0.050201,2.11,5.1,,,5577.0,0.963,0.942,Radial Velocity,2009.0,0,8.50332
61 Vir c,61 Vir,38.021,0.2175,4.46,18.2,,,5577.0,0.963,0.942,Radial Velocity,2009.0,0,8.50332
